fecha,forecast,minimo,maximo,dia_semana,mes_nombre,semana
2026-03-15,2.03,1.42,2.63,Dom,Mar,11
2026-03-16,2.04,1.43,2.65,Lun,Mar,12
2026-03-17,2.11,1.48,2.74,Mar,Mar,12
2026-03-18,2.46,1.72,3.19,Mié,Mar,12
2026-03-19,2.44,1.71,3.17,Jue,Mar,12
2026-03-20,2.38,1.67,3.1,Vie,Mar,12
2026-03-21,2.55,1.79,3.32,Sáb,Mar,12
2026-03-22,2.03,1.42,2.63,Dom,Mar,12
2026-03-23,2.04,1.43,2.65,Lun,Mar,13
2026-03-24,2.11,1.48,2.74,Mar,Mar,13
2026-03-25,2.46,1.72,3.19,Mié,Mar,13
2026-03-26,2.44,1.71,3.17,Jue,Mar,13
2026-03-27,2.38,1.67,3.1,Vie,Mar,13
2026-03-28,2.55,1.79,3.32,Sáb,Mar,13
2026-03-29,2.03,1.42,2.63,Dom,Mar,13
2026-03-30,2.04,1.43,2.65,Lun,Mar,14
2026-03-31,2.11,1.48,2.74,Mar,Mar,14
2026-04-01,1.89,1.33,2.46,Mié,Abr,14
2026-04-02,1.88,1.32,2.45,Jue,Abr,14
2026-04-03,1.84,1.29,2.39,Vie,Abr,14
2026-04-04,1.97,1.38,2.56,Sáb,Abr,14
2026-04-05,1.56,1.09,2.03,Dom,Abr,14
2026-04-06,1.57,1.1,2.04,Lun,Abr,15
2026-04-07,1.63,1.14,2.11,Mar,Abr,15
2026-04-08,1.89,1.33,2.46,Mié,Abr,15
2026-04-09,1.88,1.32,2.45,Jue,Abr,15
2026-04-10,1.84,1.29,2.39,Vie,Abr,15
2026-04-11,1.97,1.38,2.56,Sáb,Abr,15
2026-04-12,1.56,1.09,2.03,Dom,Abr,15
2026-04-13,1.57,1.1,2.04,Lun,Abr,16
